Category,Condition,No_of_studies
Bacterial and Fungal Diseases,Communicable Diseases,27025
Bacterial and Fungal Diseases,"Communicable Diseases, Emerging",4
Bacterial and Fungal Diseases,Community-Acquired Infections,29
Bacterial and Fungal Diseases,"Conjunctivitis, Bacterial",74
Bacterial and Fungal Diseases,"Conjunctivitis, Inclusion",13
Bacterial and Fungal Diseases,Corneal Ulcer,40
Bacterial and Fungal Diseases,Corynebacterium Infections,222
Bacterial and Fungal Diseases,Cross Infection,406
Bacterial and Fungal Diseases,Cryptococcosis,53
Bacterial and Fungal Diseases,Dermatomycoses,204
Bacterial and Fungal Diseases,Diphtheria,296
Bacterial and Fungal Diseases,Discitis,9
Bacterial and Fungal Diseases,Diverticular Diseases,150
Bacterial and Fungal Diseases,Diverticulitis,100
Bacterial and Fungal Diseases,"Diverticulitis, Colonic",12
Bacterial and Fungal Diseases,Diverticulum,150
Bacterial and Fungal Diseases,"Diverticulum, Colon",9
Bacterial and Fungal Diseases,"Dysentery, Bacillary",38
Bacterial and Fungal Diseases,Empyema,31
Bacterial and Fungal Diseases,"Empyema, Pleural",11
Bacterial and Fungal Diseases,"Endocarditis, Bacterial",64
Bacterial and Fungal Diseases,"Endocarditis, Subacute Bacterial",10
Bacterial and Fungal Diseases,Endophthalmitis,38
Bacterial and Fungal Diseases,Endotoxemia,83
Bacterial and Fungal Diseases,Enterobacteriaceae Infections,148
Bacterial and Fungal Diseases,"Enterocolitis, Pseudomembranous",31
Bacterial and Fungal Diseases,Erysipelas,10
Bacterial and Fungal Diseases,Erythema Chronicum Migrans,19
Bacterial and Fungal Diseases,Escherichia coli Infections,32
Bacterial and Fungal Diseases,Extensively Drug-Resistant Tuberculosis,20
Bacterial and Fungal Diseases,Eye Infections,245
Bacterial and Fungal Diseases,"Eye Infections, Bacterial",82
Bacterial and Fungal Diseases,"Eye Infections, Fungal",3
Bacterial and Fungal Diseases,"Fasciitis, Necrotizing",15
Bacterial and Fungal Diseases,Focal Infection,10
Bacterial and Fungal Diseases,"Focal Infection, Dental",1
Bacterial and Fungal Diseases,Fournier Gangrene,8
Bacterial and Fungal Diseases,Fungemia,78
Bacterial and Fungal Diseases,Furunculosis,6
Bacterial and Fungal Diseases,Fusariosis,4
Bacterial and Fungal Diseases,Gas Gangrene,7
Bacterial and Fungal Diseases,"Gingivitis, Necrotizing Ulcerative",5
Bacterial and Fungal Diseases,Glanders,4
Bacterial and Fungal Diseases,Gonorrhea,99
Bacterial and Fungal Diseases,Gram-Negative Bacterial Infections,1336
Bacterial and Fungal Diseases,Gram-Positive Bacterial Infections,2211
Bacterial and Fungal Diseases,Haemophilus Infections,174
Bacterial and Fungal Diseases,Healthcare-Associated Pneumonia,84
Bacterial and Fungal Diseases,Helicobacter Infections,234
Bacterial and Fungal Diseases,Hidradenitis Suppurativa,69
Bacterial and Fungal Diseases,Histoplasmosis,24
Bacterial and Fungal Diseases,Hordeolum,2
Bacterial and Fungal Diseases,Impetigo,25
Bacterial and Fungal Diseases,Infection,27025
Bacterial and Fungal Diseases,Intraabdominal Infections,525
Bacterial and Fungal Diseases,Invasive Fungal Infections,234
Bacterial and Fungal Diseases,Invasive Pulmonary Aspergillosis,26
Bacterial and Fungal Diseases,Klebsiella Infections,34
Bacterial and Fungal Diseases,Latent Tuberculosis,143
Bacterial and Fungal Diseases,Legionellosis,7
Bacterial and Fungal Diseases,Legionnaires' Disease,7
Bacterial and Fungal Diseases,Leprosy,30
Bacterial and Fungal Diseases,"Leprosy, Borderline",1
Bacterial and Fungal Diseases,"Leprosy, Lepromatous",2
Bacterial and Fungal Diseases,"Leprosy, Multibacillary",4
Bacterial and Fungal Diseases,Leptospirosis,8
Bacterial and Fungal Diseases,Listeriosis,4
Bacterial and Fungal Diseases,Liver Abscess,9
Bacterial and Fungal Diseases,"Liver Abscess, Amebic",2
Bacterial and Fungal Diseases,"Liver Abscess, Pyogenic",4
Bacterial and Fungal Diseases,Lung Abscess,3
Bacterial and Fungal Diseases,"Lung Diseases, Fungal",138
Bacterial and Fungal Diseases,Lyme Disease,59
Bacterial and Fungal Diseases,Lyme Neuroborreliosis,9
Bacterial and Fungal Diseases,Mastoiditis,4
Bacterial and Fungal Diseases,Melioidosis,8
Bacterial and Fungal Diseases,"Meningitis, Bacterial",127
Bacterial and Fungal Diseases,"Meningitis, Cryptococcal",40
Bacterial and Fungal Diseases,"Meningitis, Fungal",40
Bacterial and Fungal Diseases,"Meningitis, Meningococcal",98
Bacterial and Fungal Diseases,"Meningitis, Pneumococcal",5
Bacterial and Fungal Diseases,Meningococcal Infections,250
Bacterial and Fungal Diseases,Microsporidiosis,1
Bacterial and Fungal Diseases,Mucormycosis,10
Bacterial and Fungal Diseases,Mycetoma,2
Bacterial and Fungal Diseases,Mycobacterium avium-intracellulare Infection,59
Bacterial and Fungal Diseases,Mycobacterium Infections,1063
Bacterial and Fungal Diseases,"Mycobacterium Infections, Nontuberculous",88
Bacterial and Fungal Diseases,Mycoplasma Infections,33
Bacterial and Fungal Diseases,Mycoses,1370
Bacterial and Fungal Diseases,Neisseriaceae Infections,325
Bacterial and Fungal Diseases,Neonatal Sepsis,100
Bacterial and Fungal Diseases,Neuroaspergillosis,1
Bacterial and Fungal Diseases,Neurosyphilis,5
Bacterial and Fungal Diseases,Onychomycosis,115
Bacterial and Fungal Diseases,Ophthalmia Neonatorum,2
Bacterial and Fungal Diseases,Opportunistic Infections,214
Bacterial and Fungal Diseases,Osteomyelitis,73
Bacterial and Fungal Diseases,"Otitis Media, Suppurative",8
Bacterial and Fungal Diseases,Otomycosis,6
Bacterial and Fungal Diseases,Paratuberculosis,3
Bacterial and Fungal Diseases,Paratyphoid Fever,7
Bacterial and Fungal Diseases,Paronychia,3
Bacterial and Fungal Diseases,Pelvic Infection,58
Bacterial and Fungal Diseases,Pelvic Inflammatory Disease,58
Bacterial and Fungal Diseases,Periapical Abscess,7
Bacterial and Fungal Diseases,"Pericarditis, Tuberculous",1
Bacterial and Fungal Diseases,Peritonitis,145
Bacterial and Fungal Diseases,"Peritonitis, Tuberculous",2
Bacterial and Fungal Diseases,Peritonsillar Abscess,12
Bacterial and Fungal Diseases,Plague,14
Bacterial and Fungal Diseases,Pneumococcal Infections,240
Bacterial and Fungal Diseases,Pneumocystis Infections,78
Bacterial and Fungal Diseases,"Pneumonia, Bacterial",159
Bacterial and Fungal Diseases,"Pneumonia, Mycoplasma",16
Bacterial and Fungal Diseases,"Pneumonia, Pneumococcal",37
Bacterial and Fungal Diseases,"Pneumonia, Pneumocystis",100
Bacterial and Fungal Diseases,"Pneumonia, Staphylococcal",7
Bacterial and Fungal Diseases,"Pneumonia, Ventilator-Associated",237
Bacterial and Fungal Diseases,Post-Lyme Disease Syndrome,6
Bacterial and Fungal Diseases,"Pregnancy Complications, Infectious",48
Bacterial and Fungal Diseases,Prosthesis-Related Infections,21
Bacterial and Fungal Diseases,Proteus Infections,12
Bacterial and Fungal Diseases,Pseudomonas Infections,140
Bacterial and Fungal Diseases,Puerperal Infection,7
Bacterial and Fungal Diseases,Pulmonary Aspergillosis,50
Bacterial and Fungal Diseases,Pyomyositis,2
Bacterial and Fungal Diseases,Pyuria,4
Bacterial and Fungal Diseases,Q Fever,9
Bacterial and Fungal Diseases,Relapsing Fever,2
Bacterial and Fungal Diseases,Reproductive Tract Infections,3
Bacterial and Fungal Diseases,Respiratory Tract Infections,5455
Bacterial and Fungal Diseases,Retropharyngeal Abscess,1
Bacterial and Fungal Diseases,Rheumatic Fever,44
Bacterial and Fungal Diseases,Rheumatic Heart Disease,28
Bacterial and Fungal Diseases,Rhinoscleroma,2
Bacterial and Fungal Diseases,Rickettsia Infections,14
Bacterial and Fungal Diseases,Salmonella Food Poisoning,4
Bacterial and Fungal Diseases,Salmonella Infections,45
Bacterial and Fungal Diseases,Schistosomiasis haematobia,12
Bacterial and Fungal Diseases,Scrub Typhus,10
Bacterial and Fungal Diseases,Sepsis,1925
Bacterial and Fungal Diseases,Sexually Transmitted Diseases,5072
Bacterial and Fungal Diseases,"Sexually Transmitted Diseases, Bacterial",165
Bacterial and Fungal Diseases,"Shock, Septic",585
Bacterial and Fungal Diseases,"Skin Diseases, Bacterial",237
Bacterial and Fungal Diseases,"Skin Diseases, Infectious",1043
Bacterial and Fungal Diseases,Soft Tissue Infections,75
Bacterial and Fungal Diseases,Spondylitis,673
Bacterial and Fungal Diseases,Sporotrichosis,3
Bacterial and Fungal Diseases,Staphylococcal Infections,253
Bacterial and Fungal Diseases,Staphylococcal Skin Infections,56
Bacterial and Fungal Diseases,Streptococcal Infections,422
Bacterial and Fungal Diseases,Superinfection,3
Bacterial and Fungal Diseases,Suppuration,352
Bacterial and Fungal Diseases,Surgical Wound Infection,415
Bacterial and Fungal Diseases,Syphilis,65
Bacterial and Fungal Diseases,"Syphilis, Congenital",2
Bacterial and Fungal Diseases,"Syphilis, Latent",1
Bacterial and Fungal Diseases,Tabes Dorsalis,1
Bacterial and Fungal Diseases,Tetanus,310
Bacterial and Fungal Diseases,Tick-Borne Diseases,92
Bacterial and Fungal Diseases,Tinea,189
Bacterial and Fungal Diseases,Tinea Capitis,9
Bacterial and Fungal Diseases,Tinea Pedis,53
Bacterial and Fungal Diseases,Tinea Versicolor,1
Bacterial and Fungal Diseases,Toxemia,1927
Bacterial and Fungal Diseases,"Toxoplasmosis, Cerebral",10
Bacterial and Fungal Diseases,Trachoma,31
Bacterial and Fungal Diseases,Treponemal Infections,57
Bacterial and Fungal Diseases,Tuberculoma,1
Bacterial and Fungal Diseases,Tuberculosis,945
Bacterial and Fungal Diseases,"Tuberculosis, Central Nervous System",15
Bacterial and Fungal Diseases,"Tuberculosis, Gastrointestinal",1
Bacterial and Fungal Diseases,"Tuberculosis, Lymph Node",4
Bacterial and Fungal Diseases,"Tuberculosis, Meningeal",14
Bacterial and Fungal Diseases,"Tuberculosis, Miliary",2
Bacterial and Fungal Diseases,"Tuberculosis, Multidrug-Resistant",90
Bacterial and Fungal Diseases,"Tuberculosis, Osteoarticular",4
Bacterial and Fungal Diseases,"Tuberculosis, Pleural",8
Bacterial and Fungal Diseases,"Tuberculosis, Pulmonary",203
Bacterial and Fungal Diseases,"Tuberculosis, Spinal",3
Bacterial and Fungal Diseases,Tularemia,4
Bacterial and Fungal Diseases,Typhlitis,1
Bacterial and Fungal Diseases,Typhoid Fever,46
Bacterial and Fungal Diseases,"Typhus, Epidemic Louse-Borne",8
Bacterial and Fungal Diseases,Ureaplasma Infections,2
Bacterial and Fungal Diseases,Urinary Tract Infections,504
Bacterial and Fungal Diseases,"Vaginosis, Bacterial",141
Bacterial and Fungal Diseases,Vibrio Infections,55
Bacterial and Fungal Diseases,Waterborne Diseases,4
Bacterial and Fungal Diseases,Weil Disease,8
Bacterial and Fungal Diseases,Whipple Disease,1
Bacterial and Fungal Diseases,Whooping Cough,313
Bacterial and Fungal Diseases,Wound Infection,510
Bacterial and Fungal Diseases,Yersinia Infections,8
Bacterial and Fungal Diseases,Yersinia pseudotuberculosis Infections,1
Bacterial and Fungal Diseases,Zygomycosis,10
Behaviors and Mental Disorders,Adjustment Disorders,36
Behaviors and Mental Disorders,"Affective Disorders, Psychotic",22
Behaviors and Mental Disorders,Affective Symptoms,41
Behaviors and Mental Disorders,Aggression,654
Behaviors and Mental Disorders,Agnosia,69
Behaviors and Mental Disorders,Agoraphobia,46
Behaviors and Mental Disorders,AIDS Dementia Complex,38
Behaviors and Mental Disorders,Alcohol Abstinence,12
Behaviors and Mental Disorders,Alcohol Amnestic Disorder,1
Behaviors and Mental Disorders,Alcohol Drinking,762
Behaviors and Mental Disorders,Alcohol Drinking in College,13
Behaviors and Mental Disorders,Alcohol Withdrawal Delirium,8
Behaviors and Mental Disorders,Alcohol-Related Disorders,1182
Behaviors and Mental Disorders,Alcoholic Intoxication,63
Behaviors and Mental Disorders,Alcoholic Korsakoff Syndrome,1
Behaviors and Mental Disorders,Alcoholism,964
Behaviors and Mental Disorders,Alzheimer Disease,2086
Behaviors and Mental Disorders,Amnesia,98
Behaviors and Mental Disorders,"Amnesia, Transient Global",4
Behaviors and Mental Disorders,Amphetamine-Related Disorders,49
Behaviors and Mental Disorders,Anhedonia,40
Behaviors and Mental Disorders,Anorexia Nervosa,206
Behaviors and Mental Disorders,Antisocial Personality Disorder,23
Behaviors and Mental Disorders,Anxiety Disorders,3198
Behaviors and Mental Disorders,"Anxiety, Separation",43
Behaviors and Mental Disorders,"Aphasia, Primary Progressive",155
Behaviors and Mental Disorders,"Apraxia, Ideomotor",4
Behaviors and Mental Disorders,Apraxias,42
Behaviors and Mental Disorders,Asperger Syndrome,73
Behaviors and Mental Disorders,Attention Deficit and Disruptive Behavior Disorders,995
Behaviors and Mental Disorders,Attention Deficit Disorder with Hyperactivity,1021
Behaviors and Mental Disorders,Auditory Perceptual Disorders,22
Behaviors and Mental Disorders,Autism Spectrum Disorder,864
Behaviors and Mental Disorders,Autistic Disorder,936
Behaviors and Mental Disorders,"Behavior, Addictive",713
Behaviors and Mental Disorders,Behavioral Symptoms,6368
Behaviors and Mental Disorders,Binge Drinking,35
Behaviors and Mental Disorders,Binge-Eating Disorder,187
Behaviors and Mental Disorders,Bipolar and Related Disorders,1121
Behaviors and Mental Disorders,Bipolar Disorder,1182
Behaviors and Mental Disorders,Body Dysmorphic Disorders,30
Behaviors and Mental Disorders,Borderline Personality Disorder,129
Behaviors and Mental Disorders,Bulimia Nervosa,196
Behaviors and Mental Disorders,Bullying,16
Behaviors and Mental Disorders,"Burnout, Professional",57
Behaviors and Mental Disorders,"Burnout, Psychological",122
Behaviors and Mental Disorders,Cataplexy,31
Behaviors and Mental Disorders,Catatonia,9
Behaviors and Mental Disorders,Charles Bonnet Syndrome,1
Behaviors and Mental Disorders,Child Behavior Disorders,20
Behaviors and Mental Disorders,"Child Development Disorders, Pervasive",837
Behaviors and Mental Disorders,Childhood-Onset Fluency Disorder,1
Behaviors and Mental Disorders,Cocaine-Related Disorders,393
Behaviors and Mental Disorders,Cognition Disorders,1943
Behaviors and Mental Disorders,Cognitive Dysfunction,1933
Behaviors and Mental Disorders,Combat Disorders,38
Behaviors and Mental Disorders,Communication Disorders,507
Behaviors and Mental Disorders,Compassion Fatigue,7
Behaviors and Mental Disorders,Compulsive Behavior,203
Behaviors and Mental Disorders,Compulsive Personality Disorder,382
Behaviors and Mental Disorders,Conduct Disorder,219
Behaviors and Mental Disorders,Confusion,603
Behaviors and Mental Disorders,Consciousness Disorders,350
Behaviors and Mental Disorders,Conversion Disorder,111
Behaviors and Mental Disorders,Creutzfeldt-Jakob Syndrome,5
Behaviors and Mental Disorders,Cyberbullying,3
Behaviors and Mental Disorders,Cyclothymic Disorder,5
Behaviors and Mental Disorders,Delirium,645
Behaviors and Mental Disorders,Delusions,41
Behaviors and Mental Disorders,Dementia,2943
Behaviors and Mental Disorders,"Dementia, Multi-Infarct",11
Behaviors and Mental Disorders,"Dementia, Vascular",102
Behaviors and Mental Disorders,Dependent Personality Disorder,1
Behaviors and Mental Disorders,Depersonalization,5
Behaviors and Mental Disorders,Depression,6010
Behaviors and Mental Disorders,"Depression, Postpartum",205
Behaviors and Mental Disorders,Depressive Disorder,5961
Behaviors and Mental Disorders,"Depressive Disorder, Major",1986
Behaviors and Mental Disorders,"Depressive Disorder, Treatment-Resistant",222
Behaviors and Mental Disorders,Developmental Disabilities,942
Behaviors and Mental Disorders,Disorders of Excessive Somnolence,98
Behaviors and Mental Disorders,"Disruptive, Impulse Control, and Conduct Disorders",149
Behaviors and Mental Disorders,Dissociative Disorders,110
Behaviors and Mental Disorders,Dissociative Identity Disorder,3
Behaviors and Mental Disorders,Diurnal Enuresis,6
Behaviors and Mental Disorders,Drinking Behavior,498
Behaviors and Mental Disorders,Drug-Seeking Behavior,5
Behaviors and Mental Disorders,Dyscalculia,2
Behaviors and Mental Disorders,Dyslexia,51
Behaviors and Mental Disorders,"Dyslexia, Acquired",2
Behaviors and Mental Disorders,Dyspareunia,74
Behaviors and Mental Disorders,Dyssomnias,2992
Behaviors and Mental Disorders,Dysthymic Disorder,64
Behaviors and Mental Disorders,Emergence Delirium,105
Behaviors and Mental Disorders,Encopresis,5
Behaviors and Mental Disorders,Enuresis,882
Behaviors and Mental Disorders,Erectile Dysfunction,434
Behaviors and Mental Disorders,Feeding and Eating Disorders,557
Behaviors and Mental Disorders,Feeding and Eating Disorders of Childhood,22
Behaviors and Mental Disorders,Female Athlete Triad Syndrome,7
Behaviors and Mental Disorders,Firesetting Behavior,1
Behaviors and Mental Disorders,Food Addiction,9
Behaviors and Mental Disorders,Frontotemporal Dementia,155
Behaviors and Mental Disorders,Frontotemporal Lobar Degeneration,146
Behaviors and Mental Disorders,Gait Apraxia,5
Behaviors and Mental Disorders,Gambling,105
Behaviors and Mental Disorders,Gender Dysphoria,17
Behaviors and Mental Disorders,Hallucinations,83
Behaviors and Mental Disorders,"Hearing Loss, Functional",2
Behaviors and Mental Disorders,Heroin Dependence,83
Behaviors and Mental Disorders,Hoarding Disorder,16
Behaviors and Mental Disorders,Huntington Disease,166
Behaviors and Mental Disorders,"Hypersomnolence, Idiopathic",11
Behaviors and Mental Disorders,Hypochondriasis,12
Behaviors and Mental Disorders,Hysteria,35
Behaviors and Mental Disorders,Illness Behavior,15
Behaviors and Mental Disorders,Illusions,7
Behaviors and Mental Disorders,Impulsive Behavior,327
Behaviors and Mental Disorders,Inhalant Abuse,1
Behaviors and Mental Disorders,Intellectual Disability,652
Behaviors and Mental Disorders,Jet Lag Syndrome,9
Behaviors and Mental Disorders,Kleine-Levin Syndrome,2
Behaviors and Mental Disorders,Korsakoff Syndrome,5
Behaviors and Mental Disorders,Learning Disorders,83
Behaviors and Mental Disorders,Lethargy,5
Behaviors and Mental Disorders,Lewy Body Disease,82
Behaviors and Mental Disorders,Malingering,1
Behaviors and Mental Disorders,Marijuana Abuse,419
Behaviors and Mental Disorders,Marijuana Use,42
Behaviors and Mental Disorders,Memory Disorders,165
Behaviors and Mental Disorders,Mental Disorders,23609
Behaviors and Mental Disorders,Mental Fatigue,29
Behaviors and Mental Disorders,Mood Disorders,3954
Behaviors and Mental Disorders,Morphine Dependence,2
Behaviors and Mental Disorders,Motor Disorders,27
Behaviors and Mental Disorders,Motor Skills Disorders,30
Behaviors and Mental Disorders,Mutism,14
Behaviors and Mental Disorders,Narcolepsy,74
Behaviors and Mental Disorders,Neonatal Abstinence Syndrome,53
Behaviors and Mental Disorders,Neurasthenia,1
Behaviors and Mental Disorders,Neurobehavioral Manifestations,2827
Behaviors and Mental Disorders,Neurocognitive Disorders,4562
Behaviors and Mental Disorders,Neurodevelopmental Disorders,2362
Behaviors and Mental Disorders,Neurotic Disorders,18
Behaviors and Mental Disorders,Night Eating Syndrome,5
Behaviors and Mental Disorders,Night Terrors,2
Behaviors and Mental Disorders,Nocturnal Enuresis,701
Behaviors and Mental Disorders,Obsessive Behavior,1
Behaviors and Mental Disorders,Obsessive-Compulsive Disorder,379
Behaviors and Mental Disorders,Occupational Stress,89
Behaviors and Mental Disorders,Opioid-Related Disorders,584
Behaviors and Mental Disorders,Panic Disorder,177
Behaviors and Mental Disorders,Paranoid Disorders,19
Behaviors and Mental Disorders,Paraphilic Disorders,7
Behaviors and Mental Disorders,Parasomnias,3270
Behaviors and Mental Disorders,Passive-Aggressive Personality Disorder,1
Behaviors and Mental Disorders,Pedophilia,5
Behaviors and Mental Disorders,Perceptual Disorders,273
Behaviors and Mental Disorders,Personality Disorders,584
Behaviors and Mental Disorders,Phantom Limb,84
Behaviors and Mental Disorders,"Phobia, Social",226
Behaviors and Mental Disorders,Phobic Disorders,308
Behaviors and Mental Disorders,Pica,1
Behaviors and Mental Disorders,Pick Disease of the Brain,155
Behaviors and Mental Disorders,"Polydipsia, Psychogenic",4
Behaviors and Mental Disorders,Premature Ejaculation,62
Behaviors and Mental Disorders,Premenstrual Dysphoric Disorder,26
Behaviors and Mental Disorders,Primary Progressive Nonfluent Aphasia,13
Behaviors and Mental Disorders,Problem Behavior,508
Behaviors and Mental Disorders,Prosopagnosia,1
Behaviors and Mental Disorders,Psychological Trauma,34
Behaviors and Mental Disorders,Psychomotor Agitation,468
Behaviors and Mental Disorders,Psychomotor Disorders,367
Behaviors and Mental Disorders,"Psychoses, Substance-Induced",4
Behaviors and Mental Disorders,Psychotic Disorders,23502
Behaviors and Mental Disorders,Quality of Life,5261
Behaviors and Mental Disorders,Reactive Attachment Disorder,1
Behaviors and Mental Disorders,REM Sleep Behavior Disorder,35
Behaviors and Mental Disorders,REM Sleep Parasomnias,34
Behaviors and Mental Disorders,Restless Legs Syndrome,178
Behaviors and Mental Disorders,Schizophrenia,3046
Behaviors and Mental Disorders,Schizophrenia Spectrum and Other Psychotic Disorders,2969
Behaviors and Mental Disorders,"Schizophrenia, Catatonic",2
Behaviors and Mental Disorders,"Schizophrenia, Childhood",8
Behaviors and Mental Disorders,"Schizophrenia, Disorganized",4
Behaviors and Mental Disorders,"Schizophrenia, Paranoid",24
Behaviors and Mental Disorders,Schizotypal Personality Disorder,22
Behaviors and Mental Disorders,Seasonal Affective Disorder,27
Behaviors and Mental Disorders,Self Mutilation,20
Behaviors and Mental Disorders,Self-Injurious Behavior,445
Behaviors and Mental Disorders,"Sexual Dysfunctions, Psychological",615
Behaviors and Mental Disorders,Shared Paranoid Disorder,9
Behaviors and Mental Disorders,Sleep Arousal Disorders,5
Behaviors and Mental Disorders,Sleep Bruxism,29
Behaviors and Mental Disorders,Sleep Deprivation,167
Behaviors and Mental Disorders,"Sleep Disorders, Circadian Rhythm",79
Behaviors and Mental Disorders,"Sleep Disorders, Intrinsic",2552
Behaviors and Mental Disorders,Sleep Initiation and Maintenance Disorders,664
Behaviors and Mental Disorders,Sleep Wake Disorders,3270
Behaviors and Mental Disorders,Sleep-Wake Transition Disorders,7
Behaviors and Mental Disorders,Social Communication Disorder,3
Behaviors and Mental Disorders,Somatoform Disorders,280
Behaviors and Mental Disorders,Somnambulism,3
Behaviors and Mental Disorders,Specific Learning Disorder,2
Behaviors and Mental Disorders,Speech Sound Disorder,16
Behaviors and Mental Disorders,Stereotypic Movement Disorder,11
Behaviors and Mental Disorders,"Stress Disorders, Post-Traumatic",1135
Behaviors and Mental Disorders,"Stress Disorders, Traumatic",1231
Behaviors and Mental Disorders,"Stress Disorders, Traumatic, Acute",25
Behaviors and Mental Disorders,"Stress, Psychological",432
Behaviors and Mental Disorders,"Substance Abuse, Intravenous",23
Behaviors and Mental Disorders,Substance Withdrawal Syndrome,114
Behaviors and Mental Disorders,Substance-Related Disorders,3962
Behaviors and Mental Disorders,Suicidal Ideation,154
Behaviors and Mental Disorders,Suicide,438
Behaviors and Mental Disorders,"Suicide, Assisted",4
Behaviors and Mental Disorders,"Suicide, Attempted",114
Behaviors and Mental Disorders,Tic Disorders,178
Behaviors and Mental Disorders,Tobacco Use Disorder,695
Behaviors and Mental Disorders,Tourette Syndrome,154
Behaviors and Mental Disorders,Trauma and Stressor Related Disorders,1150
Behaviors and Mental Disorders,Trichotillomania,33
Behaviors and Mental Disorders,Underage Drinking,23
Behaviors and Mental Disorders,Vaginismus,9
Behaviors and Mental Disorders,Wandering Behavior,1
Behaviors and Mental Disorders,Wernicke Encephalopathy,8
Blood and Lymph Conditions,22q11 Deletion Syndrome,34
Blood and Lymph Conditions,Activated Protein C Resistance,2
Blood and Lymph Conditions,Acute Chest Syndrome,30
Blood and Lymph Conditions,Afibrinogenemia,16
Blood and Lymph Conditions,Agammaglobulinemia,38
Blood and Lymph Conditions,Agranulocytosis,300
Blood and Lymph Conditions,alpha-Thalassemia,13
Blood and Lymph Conditions,Anemia,3207
Blood and Lymph Conditions,"Anemia, Aplastic",356
Blood and Lymph Conditions,"Anemia, Diamond-Blackfan",51
Blood and Lymph Conditions,"Anemia, Dyserythropoietic, Congenital",3
Blood and Lymph Conditions,"Anemia, Hemolytic",1035
Blood and Lymph Conditions,"Anemia, Hemolytic, Autoimmune",32
Blood and Lymph Conditions,"Anemia, Hemolytic, Congenital",858
Blood and Lymph Conditions,"Anemia, Hemolytic, Congenital Nonspherocytic",8
Blood and Lymph Conditions,"Anemia, Hypochromic",456
Blood and Lymph Conditions,"Anemia, Hypoplastic, Congenital",98
Blood and Lymph Conditions,"Anemia, Iron-Deficiency",508
Blood and Lymph Conditions,"Anemia, Megaloblastic",1
Blood and Lymph Conditions,"Anemia, Neonatal",29
Blood and Lymph Conditions,"Anemia, Pernicious",1
Blood and Lymph Conditions,"Anemia, Refractory",212
Blood and Lymph Conditions,"Anemia, Refractory, with Excess of Blasts",190
Blood and Lymph Conditions,"Anemia, Sickle Cell",665
Blood and Lymph Conditions,Angiolymphoid Hyperplasia with Eosinophilia,1
Blood and Lymph Conditions,Antithrombin III Deficiency,10
Blood and Lymph Conditions,Atypical Hemolytic Uremic Syndrome,25
Blood and Lymph Conditions,Autoimmune Lymphoproliferative Syndrome,10
Blood and Lymph Conditions,beta-Thalassemia,182
Blood and Lymph Conditions,Blast Crisis,374
Blood and Lymph Conditions,Blood Coagulation Disorders,4051
Blood and Lymph Conditions,"Blood Coagulation Disorders, Inherited",692
